words, frequency
estates,1
you,8
the,2
havenothing,1
and,4
no,2
really,1
perpetrated,1
are,2
horrors,1
down,1
is,1
seeI,1
frightened,1
this,1
as,1
now,1
family,1
warn,1
more,1
he,1
Lucca,1
call,1
that,1
slave',1
'faithful,1
don't,1
infamies,1
have,1
warif,1
defend,1
do?,1
of,1
Genoa,1
to,2
how,1
news.,1
still,1
But,2
will,1
Well,1
Antichrist,2
tell,2
me,2
I,4
longer,1
theBuonapartes.,1
if,1
longermy,1
believe,1
all,1
Prince,1
just,1
yourself!,1
sit,1
friend,1
means,1
so,1
my,1
bythat,1
try,1
with,1
do,2
